job_title, company_name, job_adress, job_type, exp_years, exp_level 
Data Analyst,Royal Lab -,Heliopolis_Cairo_Egypt,Full TimeOn-site,· 4 - 5 Yrs of Exp,Experienced
Data Analyst,Confidential -,Qalyub_Qalubia_Egypt,Full TimeOn-site,· 2 - 4 Yrs of Exp,Experienced
Data Analyst,WonderOps LLC -,Boulder_United States,Full TimeRemote,Data Analysis,Entry Level
Commercial Data Analyst,Ibn Sina Pharma -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Entry Level
Data Analyst,Ashtar Tech    -,New Capital_Cairo_Egypt,Full TimeOn-site,· 3 - 7 Yrs of Exp,Senior Management
Senior Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,Zamalek_Cairo_Egypt,Full TimeOn-site,· 3 - 5 Yrs of Exp,Experienced
Senior Data Analyst,El-nour for vegetable and fruits supplies  -,Obour City_Cairo_Egypt,Full TimeOn-site,· 3 - 4 Yrs of Exp,Manager
Data Analyst,Qureos -,Cairo_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Entry Level
Data Analyst,Optimarc pharma -,Sheraton_Cairo_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Entry Level
Data Analyst,Engosoft -,Nasr City_Cairo_Egypt,Full TimeOn-site,· 2 - 4 Yrs of Exp,Experienced
Financial Analyst,Nacita -,6th of October_Giza_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Experienced
Data Analyst,Confidential -,Mohandessin_Giza_Egypt,Full TimeHybrid,· 1 - 2 Yrs of Exp,Entry Level
System Analyst,Equivator -,Riyadh_Saudi Arabia,Full TimeRemote,· 5 - 10 Yrs of Exp,Experienced
Software Business Analyst,Confidential -,Alexandria_Egypt,Full TimePart TimeFreelance / ProjectRemote,Freelance / Project,Experienced
Commodity Analyst,Cairo Three A  for International Industries. -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Entry Level
Data Analyst,CRIF EGYPT -,Heliopolis_Cairo_Egypt,Full TimeOn-site,· 5 - 7 Yrs of Exp,Experienced
BI Analyst,Teleperformance - Egypt -,Katameya_Cairo_Egypt,Full TimeOn-site,· 1+ Yrs of Exp,Experienced
MIS & Planning Analyst,B.TECH -,Nasr City_Cairo_Egypt,Full TimeOn-site,· 3 - 7 Yrs of Exp,Experienced
Business Analyst,Transformation Experts -,Cairo_Egypt,Full TimeFreelance / ProjectRemote,Remote,Experienced
Data Analyst Team Leader,3Sixty -,Mohandessin_Giza_Egypt,Full TimeHybrid,· 3 - 5 Yrs of Exp,Experienced
Business Analyst Manager,Aqarmap.com -,Nasr City_Cairo_Egypt,Full TimeOn-site,· 3 - 7 Yrs of Exp,Manager
Business Data Analyst,Fawry Plus -,Smart Village_Giza_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Experienced
Data/Business Analyst Intern,kafiil -,Maadi_Cairo_Egypt,InternshipOn-site,Data Analysis,Entry Level
Financial Data Analyst,Influence Communication -,Maadi_Cairo_Egypt,Full TimeOn-site,· 2 - 4 Yrs of Exp,Experienced
Business Analyst,egabi solutions -,Sheraton_Cairo_Egypt,Full TimeOn-site,· 3 - 7 Yrs of Exp,Experienced
Commercial Excellence Analyst ( Sales Analyst ),Infinity Clinic Pharma -,Nasr City_Cairo_Egypt,Full TimeOn-site,· 3+ Yrs of Exp,Experienced
Market Research Analyst,Iktmal Solutions -,Nasr City_Cairo_Egypt,InternshipHybrid,· males_preferred,Entry Level
Market Research Analyst,GT World OF Beauty -,Sheraton_Cairo_Egypt,Full TimeOn-site,· 2 - 4 Yrs of Exp,Experienced
Senior Investment Risk Analyst- Mid Office Investment,Allianz -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Experienced
Business Intelligence Analyst (MicroStrategy) - Banking Sector,BBI-Consultancy -,Downtown_Cairo_Egypt,Full TimeOn-site,· 3 - 4 Yrs of Exp,Experienced
Financial Systems Analyst,NOBLE FINANCIAL SOLUTIONS LTD -,Boulaq_Cairo_Egypt,Full TimeHybrid,· 1 - 3 Yrs of Exp,Entry Level
Quality Monitoring Analyst (Englsih B2),Xceed Contact Center -,Cairo_Egypt,Full TimeOn-site,· 1+ Yrs of Exp,Experienced
Software Business Analyst,Obeikan Digital Solutions -,Cairo_Egypt,Full TimeHybrid,· 3 - 6 Yrs of Exp,Experienced
French Quality Assurance Analyst,Teleperformance - Egypt -,Katameya_Cairo_Egypt,Full TimeOn-site,· 1+ Yrs of Exp,Experienced
WFM Real Time Analyst - German Speaker,Teleperformance - Egypt -,Katameya_Cairo_Egypt,Full TimeOn-site,· 1 - 5 Yrs of Exp,Experienced
Financial Analyst/Intern,Intercap Capital  -,Dokki_Giza_Egypt,InternshipOn-site,· 0 - 1 Yrs of Exp,Entry Level
Pricing and Business Support Analyst,Confidential -,Maadi_Cairo_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Experienced
Data Analyst,Talaat Moustafa Group -,Dokki_Giza_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Entry Level
QA Analyst - German Speakers,Teleperformance - Egypt -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 1 - 4 Yrs of Exp,Experienced
Data Analyst,Mazaya -,New Cairo_Cairo_Egypt,Full TimeShift BasedOn-site,On-site,Experienced
Senior Financial Analyst,Al Ahly Medical Company -,Giza_Giza_Egypt,Full TimeOn-site,· 3 - 5 Yrs of Exp,Experienced
QA Analyst - Italian Speakers,Teleperformance - Egypt -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 1 - 4 Yrs of Exp,Experienced
Actuarial Analyst,Allianz -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 0 - 2 Yrs of Exp,Entry Level
Financial Analyst,Hands of Hope Physical Therapy & Wellness -,Maadi_Cairo_Egypt,Full TimeOn-site,· 5 - 7 Yrs of Exp,Experienced
